Set,color,num_critic_for_reviews,duration,gross,movie_title,num_voted_users,num_user_for_reviews,language,content_rating,budget,title_year,imdb_score,aspect_ratio,movies_made,main_genre,num_genre,num_top_actors,num_pop_actors
train,1,723,178,760505847,Avatar ,886204,3054,English,PG13,237000000,2009,7.9,1.78,6,Action,4,0,0
train,1,302,169,309404152,Pirates of the Caribbean: At World's End ,471220,1238,English,PG13,300000000,2007,7.1,2.35,7,Action,3,1,1
train,1,813,164,448130642,The Dark Knight Rises ,1144337,2701,English,PG13,250000000,2012,8.5,2.35,8,Action,2,2,3
train,1,392,156,336530303,Spider-Man 3 ,383056,1902,English,PG13,258000000,2007,6.2,2.35,9,Action,3,3,1
train,1,324,100,200807262,Tangled ,294810,387,English,PG,260000000,2010,7.8,1.85,1,Adventure,7,0,0
train,1,673,183,330249062,Batman v Superman: Dawn of Justice ,371639,3018,English,PG13,250000000,2016,6.9,2.35,7,Action,3,0,0
train,1,434,169,200069408,Superman Returns ,240396,2367,English,PG13,209000000,2006,6.1,2.35,7,Action,3,1,0
train,1,313,151,423032628,Pirates of the Caribbean: Dead Man's Chest ,522040,1832,English,PG13,225000000,2006,7.3,2.35,7,Action,3,1,1
train,1,450,150,89289910,The Lone Ranger ,181792,711,English,PG13,215000000,2013,6.5,2.35,7,Action,3,2,1
train,1,733,143,291021565,Man of Steel ,548573,2536,English,PG13,225000000,2013,7.2,2.35,7,Action,4,0,0
train,1,258,150,141614023,The Chronicles of Narnia: Prince Caspian ,149922,438,English,PG,225000000,2008,6.6,2.35,4,Action,4,1,1
train,1,703,173,623279547,The Avengers ,995415,1722,English,PG13,220000000,2012,8.1,1.85,3,Action,3,3,3
train,1,448,136,241063875,Pirates of the Caribbean: On Stranger Tides ,370704,484,English,PG13,250000000,2011,6.7,2.35,5,Action,3,1,1
train,1,451,106,179020854,Men in Black 3 ,268154,341,English,PG13,225000000,2012,6.8,1.85,7,Action,6,1,0
train,1,599,153,262030663,The Amazing Spider-Man ,451803,1225,English,PG13,230000000,2012,7,2.35,3,Action,3,1,0
train,1,343,156,105219735,Robin Hood ,211765,546,English,PG13,200000000,2010,6.7,2.35,14,Action,4,1,0
train,1,509,186,258355354,The Hobbit: The Desolation of Smaug ,483540,951,English,PG13,225000000,2013,7.9,2.35,5,Adventure,2,0,0
train,1,251,113,70083519,The Golden Compass ,149019,666,English,PG13,180000000,2007,6.1,2.35,4,Adventure,3,1,0
train,1,315,194,658672302,Titanic ,793059,2528,English,PG13,200000000,1997,7.7,2.35,6,Drama,2,2,1
train,1,516,147,407197282,Captain America: Civil War ,272670,1022,English,PG13,250000000,2016,8.2,2.35,4,Action,3,2,2
train,1,377,131,65173160,Battleship ,202382,751,English,PG13,209000000,2012,5.9,2.35,6,Action,4,1,0
