Id,Predicted
John Carter ,5.946555756356676
Avengers: Age of Ultron ,7.405710580771931
Cars 2 ,6.132681078482951
Green Lantern ,6.31811206606365
Terminator Salvation ,6.32593421994311
Star Trek Beyond ,5.481910881782822
X-Men: Apocalypse ,6.160931780379275
The Dark Knight ,10.128633019794433
Up ,7.855756354031113
Monsters vs. Aliens ,5.6620432356061245
Inside Out ,7.226169503213361
Wreck-It Ralph ,6.68266261820617
How to Train Your Dragon ,7.081628505873418
Terminator 3: Rise of the Machines ,5.899583508129651
Kung Fu Panda 3 ,5.489616305731274
Star Trek ,7.365610323654253
Gods of Egypt ,5.360642404636453
Turbo ,5.689887182325069
War of the Worlds ,6.751113303406499
Speed Racer ,6.003764575793727
Fantastic Four ,5.721362016081488
Real Steel ,6.66995582241671
Ender's Game ,6.108484266725858
Kingdom of Heaven ,6.951261156025883
The Martian ,8.202873676098854
Django Unchained ,10.613476048891544
Point Break ,5.351713108753078
Surf's Up ,6.037656840968591
Finding Nemo ,8.262703552720948
Seventh Son ,5.459608050588933
Jurassic Park III ,5.829918037328351
The Girl with the Dragon Tattoo ,8.229125474515236
Alvin and the Chipmunks: The Road Chip ,5.417618752527345
Seabiscuit ,6.636466339342738
Enemy of the State ,6.507375159482431
It's Complicated ,6.218598717276472
The Fast and the Furious: Tokyo Drift ,5.86145944604836
Click ,6.368658325415045
Cats & Dogs: The Revenge of Kitty Galore ,5.185204724547827
Lilo & Stitch ,6.2345897002776764
RED 2 ,6.059071188244058
Zookeeper ,5.887784717411154
Déjà Vu ,6.180799398897712
What Dreams May Come ,6.197189054107949
Journey 2: The Mysterious Island ,5.831910805800776
Inspector Gadget ,5.700174180759431
Grown Ups ,6.275376823189063
Vertical Limit ,5.853988791919053
The Man from U.N.C.L.E. ,6.331463855089882
Driven ,5.771453385871053
Cars ,6.902679287375084
The SpongeBob Movie: Sponge Out of Water ,5.721613386453217
Wolf ,6.5971219221274575
The Abyss ,6.752383362319672
I Spy ,5.603777538794567
The Twilight Saga: Eclipse ,6.8448610297426375
Need for Speed ,6.298418570358604
Lincoln ,8.260412006200193
Death Race ,6.524539877433357
Hudson Hawk ,5.87076094886816
Two Weeks Notice ,5.811206520608705
Days of Thunder ,6.039751213181847
The Scorch Trials ,6.088176256885016
The Family Man ,6.230186120536244
Up Close & Personal ,6.148388505673404
The Boxtrolls ,6.011614236187543
Mercury Rising ,6.001506051252517
The Last Castle ,6.159942061848327
Dark Water ,6.314993187144699
The Internship ,6.38904959010687
The Nutty Professor ,5.976134912622543
Muppets Most Wanted ,6.375668629355469
Flags of Our Fathers ,7.247965325366979
Lucky You ,6.29964229808783
Valentine's Day ,6.3035333170827
Casino ,8.228683690343834
Robin Hood: Prince of Thieves ,6.5167745284270024
Patch Adams ,6.531403389315853
22 Jump Street ,6.941695529645246
Payback ,6.066887994686999
"Crazy, Stupid, Love. ",7.306085351308943
The Game ,7.431040198760138
Into the Storm ,5.581131940796614
For Love of the Game ,6.6429908625673715
The Iron Giant ,6.045857339561906
Baby's Day Out ,5.94733591885215
Gamer ,6.104167078272148
Chappie ,6.713437088320348
The Tooth Fairy ,5.168262005285264
3:10 to Yuma ,7.227340023773268
The Thomas Crown Affair ,6.6206185872222
America's Sweethearts ,5.857412285491399
Courage Under Fire ,6.278794806898935
The Muppets ,6.829752205006207
Blended ,6.056676295151531
The Bounty Hunter ,5.9619606850580125
